shard_id,config_path,surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,output_filename,raw_runs_output
0,anvil/generated_mrn_r8/config_shard_0000.yaml,10.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0000.csv,results/anvil_mrn_r8/raw_chunk_0000.csv
1,anvil/generated_mrn_r8/config_shard_0001.yaml,10.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0001.csv,results/anvil_mrn_r8/raw_chunk_0001.csv
2,anvil/generated_mrn_r8/config_shard_0002.yaml,10.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0002.csv,results/anvil_mrn_r8/raw_chunk_0002.csv
3,anvil/generated_mrn_r8/config_shard_0003.yaml,10.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0003.csv,results/anvil_mrn_r8/raw_chunk_0003.csv
4,anvil/generated_mrn_r8/config_shard_0004.yaml,10.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0004.csv,results/anvil_mrn_r8/raw_chunk_0004.csv
5,anvil/generated_mrn_r8/config_shard_0005.yaml,10.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0005.csv,results/anvil_mrn_r8/raw_chunk_0005.csv
6,anvil/generated_mrn_r8/config_shard_0006.yaml,10.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0006.csv,results/anvil_mrn_r8/raw_chunk_0006.csv
7,anvil/generated_mrn_r8/config_shard_0007.yaml,10.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0007.csv,results/anvil_mrn_r8/raw_chunk_0007.csv
8,anvil/generated_mrn_r8/config_shard_0008.yaml,10.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0008.csv,results/anvil_mrn_r8/raw_chunk_0008.csv
9,anvil/generated_mrn_r8/config_shard_0009.yaml,10.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0009.csv,results/anvil_mrn_r8/raw_chunk_0009.csv
10,anvil/generated_mrn_r8/config_shard_0010.yaml,10.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0010.csv,results/anvil_mrn_r8/raw_chunk_0010.csv
11,anvil/generated_mrn_r8/config_shard_0011.yaml,10.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0011.csv,results/anvil_mrn_r8/raw_chunk_0011.csv
12,anvil/generated_mrn_r8/config_shard_0012.yaml,20.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0012.csv,results/anvil_mrn_r8/raw_chunk_0012.csv
13,anvil/generated_mrn_r8/config_shard_0013.yaml,20.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0013.csv,results/anvil_mrn_r8/raw_chunk_0013.csv
14,anvil/generated_mrn_r8/config_shard_0014.yaml,20.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0014.csv,results/anvil_mrn_r8/raw_chunk_0014.csv
15,anvil/generated_mrn_r8/config_shard_0015.yaml,20.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0015.csv,results/anvil_mrn_r8/raw_chunk_0015.csv
16,anvil/generated_mrn_r8/config_shard_0016.yaml,20.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0016.csv,results/anvil_mrn_r8/raw_chunk_0016.csv
17,anvil/generated_mrn_r8/config_shard_0017.yaml,20.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0017.csv,results/anvil_mrn_r8/raw_chunk_0017.csv
18,anvil/generated_mrn_r8/config_shard_0018.yaml,20.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0018.csv,results/anvil_mrn_r8/raw_chunk_0018.csv
19,anvil/generated_mrn_r8/config_shard_0019.yaml,20.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0019.csv,results/anvil_mrn_r8/raw_chunk_0019.csv
20,anvil/generated_mrn_r8/config_shard_0020.yaml,20.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0020.csv,results/anvil_mrn_r8/raw_chunk_0020.csv
21,anvil/generated_mrn_r8/config_shard_0021.yaml,20.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0021.csv,results/anvil_mrn_r8/raw_chunk_0021.csv
22,anvil/generated_mrn_r8/config_shard_0022.yaml,20.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0022.csv,results/anvil_mrn_r8/raw_chunk_0022.csv
23,anvil/generated_mrn_r8/config_shard_0023.yaml,20.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0023.csv,results/anvil_mrn_r8/raw_chunk_0023.csv
24,anvil/generated_mrn_r8/config_shard_0024.yaml,30.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0024.csv,results/anvil_mrn_r8/raw_chunk_0024.csv
25,anvil/generated_mrn_r8/config_shard_0025.yaml,30.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0025.csv,results/anvil_mrn_r8/raw_chunk_0025.csv
26,anvil/generated_mrn_r8/config_shard_0026.yaml,30.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0026.csv,results/anvil_mrn_r8/raw_chunk_0026.csv
27,anvil/generated_mrn_r8/config_shard_0027.yaml,30.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0027.csv,results/anvil_mrn_r8/raw_chunk_0027.csv
28,anvil/generated_mrn_r8/config_shard_0028.yaml,30.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0028.csv,results/anvil_mrn_r8/raw_chunk_0028.csv
29,anvil/generated_mrn_r8/config_shard_0029.yaml,30.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0029.csv,results/anvil_mrn_r8/raw_chunk_0029.csv
30,anvil/generated_mrn_r8/config_shard_0030.yaml,30.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0030.csv,results/anvil_mrn_r8/raw_chunk_0030.csv
31,anvil/generated_mrn_r8/config_shard_0031.yaml,30.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0031.csv,results/anvil_mrn_r8/raw_chunk_0031.csv
32,anvil/generated_mrn_r8/config_shard_0032.yaml,30.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0032.csv,results/anvil_mrn_r8/raw_chunk_0032.csv
33,anvil/generated_mrn_r8/config_shard_0033.yaml,30.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0033.csv,results/anvil_mrn_r8/raw_chunk_0033.csv
34,anvil/generated_mrn_r8/config_shard_0034.yaml,30.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0034.csv,results/anvil_mrn_r8/raw_chunk_0034.csv
35,anvil/generated_mrn_r8/config_shard_0035.yaml,30.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0035.csv,results/anvil_mrn_r8/raw_chunk_0035.csv
36,anvil/generated_mrn_r8/config_shard_0036.yaml,40.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0036.csv,results/anvil_mrn_r8/raw_chunk_0036.csv
37,anvil/generated_mrn_r8/config_shard_0037.yaml,40.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0037.csv,results/anvil_mrn_r8/raw_chunk_0037.csv
38,anvil/generated_mrn_r8/config_shard_0038.yaml,40.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0038.csv,results/anvil_mrn_r8/raw_chunk_0038.csv
39,anvil/generated_mrn_r8/config_shard_0039.yaml,40.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0039.csv,results/anvil_mrn_r8/raw_chunk_0039.csv
40,anvil/generated_mrn_r8/config_shard_0040.yaml,40.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0040.csv,results/anvil_mrn_r8/raw_chunk_0040.csv
41,anvil/generated_mrn_r8/config_shard_0041.yaml,40.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0041.csv,results/anvil_mrn_r8/raw_chunk_0041.csv
42,anvil/generated_mrn_r8/config_shard_0042.yaml,40.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0042.csv,results/anvil_mrn_r8/raw_chunk_0042.csv
43,anvil/generated_mrn_r8/config_shard_0043.yaml,40.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0043.csv,results/anvil_mrn_r8/raw_chunk_0043.csv
44,anvil/generated_mrn_r8/config_shard_0044.yaml,40.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0044.csv,results/anvil_mrn_r8/raw_chunk_0044.csv
45,anvil/generated_mrn_r8/config_shard_0045.yaml,40.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0045.csv,results/anvil_mrn_r8/raw_chunk_0045.csv
46,anvil/generated_mrn_r8/config_shard_0046.yaml,40.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0046.csv,results/anvil_mrn_r8/raw_chunk_0046.csv
