T_K,epsilon,epsilon_err_low,epsilon_err_high,method
10,0.05,0.03,0.08,TPDED
15,0.20,0.15,0.25,TPDED
18,0.40,0.33,0.47,TPDED
20,0.45,0.38,0.52,TPDED
22,0.35,0.28,0.42,TPDED
25,0.30,0.25,0.35,TPDED
30,0.30,0.26,0.34,TPDED
40,0.30,0.26,0.34,TPDED
50,0.28,0.24,0.32,TPDED
60,0.28,0.24,0.32,TPDED
80,0.25,0.21,0.29,TPDED
100,0.20,0.15,0.25,isothermal
120,0.20,0.15,0.25,isothermal
150,0.18,0.13,0.23,isothermal
180,0.20,0.15,0.25,isothermal
200,0.20,0.14,0.26,isothermal
220,0.18,0.12,0.24,isothermal
250,0.20,0.14,0.26,isothermal
