surface_temperature_k,h_gas_density_cm3,uv_flux_factor,mrn_aggregated,mrn_bins,rows_used,epsilon_mean,epsilon_std,epsilon_ci95,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std,h2_release_rate_cm2_s_ci95
10.0,1000.0,0.0,True,12,240,0.19001305573972976,0.07907329372701796,0.1549836557049552,2756186.7420454584,1147164.365796326,2248442.156960799
20.0,1000.0,0.0,True,12,240,0.2792786643475391,0.004035516419349147,0.007909612181924328,4049084.824538698,57495.111699999645,112690.4189319993
30.0,1000.0,0.0,True,12,240,0.27501095133349807,0.001104306144532394,0.0021644400432834924,3987481.5408566794,20059.611183438334,39316.83791953913
40.0,1000.0,0.0,True,12,240,0.2752176182697902,0.0012542361817762745,0.002458302916281498,3988857.1070258217,20365.947953697632,39917.25798924736
50.0,1000.0,0.0,True,12,240,0.2749032589231919,0.001328606278748469,0.002604068306346999,3986090.3640067116,22592.710573507884,44281.71272407545
60.0,1000.0,0.0,True,12,240,0.27481079272454356,0.0013617206346877733,0.0026689724439880355,3982594.8892253176,20546.65715492392,40271.44802365088
70.0,1000.0,0.0,True,12,240,0.27491503681595547,0.0014046893110063676,0.0027531910495724806,3985868.873584937,23866.482545812887,46778.30578979326
80.0,1000.0,0.0,True,12,240,0.27176311946212983,0.001304146814267297,0.002556127755963902,3941649.753557114,19915.971339628504,39035.303825671865
100.0,1000.0,0.0,True,12,240,0.25008379088578936,0.0038359359801264153,0.0075184345210477736,3627292.6825317084,55033.44452822298,107865.55127531703
120.0,1000.0,0.0,True,12,240,0.21078260673289095,0.00427806175970397,0.008385001049019783,3054915.792646969,61600.97500951329,120737.91101864605
150.0,1000.0,0.0,True,12,240,0.1193896850698081,0.07235750697591763,0.14182071367279855,1730339.0293963668,1049039.4200844245,2056117.263365472
180.0,1000.0,0.0,True,12,240,0.1181217888789189,0.07305776701588224,0.1431932233511292,1711314.7788943083,1058017.263165715,2073713.8358048012
200.0,1000.0,0.0,True,12,240,0.11813295289552497,0.07325114784042756,0.143572249767238,1713335.1240419825,1062195.7931162461,2081903.7545078422
220.0,1000.0,0.0,True,12,240,0.11886385238234609,0.07361607781789746,0.14428751252307903,1723879.7754342684,1068022.3490138846,2093323.8040672138
250.0,1000.0,0.0,True,12,240,0.11825515641427163,0.07322378188989963,0.14351861250420328,1714160.956864051,1060937.438029713,2079437.3785382374
