rng_seed,grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,sticking_temp_model,initial_h_count,initial_h_coverage,uv_flux_factor,uv_mode,uv_stimulated_diffusion_factor,enable_LH,enable_diffusion,use_3d_lattice,porosity_fraction,surface_defect_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,E_chem_mean_eV,heterogeneity_E_chem_sigma_eV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,er_cross_section_cm2,diffusion_mode,diffusion_rate_cap_s,lh_formation_mode,lh_exclude_chemisorption,enable_chemisorption_diffusion,enable_h2_blocking,E_h2_bind_eV,h2_desorption_prefactor_s,h2_stick_transition_K,h2_stick_prob_lowT,sticking_blocking_strength,er_blocking_strength,beam_dissociation_fraction,h2_beam_stick_probability,enable_grain_cache,grain_cache_dir,chemisorption_fraction,er_reaction_probability,arrival_rate_per_site_s,arrival_rate_mode,final_time_mean,final_time_std,final_time_ci95,final_h_atoms_on_surface_mean,final_h_atoms_on_surface_std,final_h_atoms_on_surface_ci95,final_h_surface_coverage_mean,final_h_surface_coverage_std,final_h_surface_coverage_ci95,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_LH_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_ER_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_formed_UV_ci95,total_h2_formed_mean,total_h2_formed_std,total_h2_formed_ci95,total_h2_desorbed_mean,total_h2_desorbed_std,total_h2_desorbed_ci95,total_h2_desorbed_LH_mean,total_h2_desorbed_LH_std,total_h2_desorbed_LH_ci95,total_h2_desorbed_ER_mean,total_h2_desorbed_ER_std,total_h2_desorbed_ER_ci95,total_h2_desorbed_UV_mean,total_h2_desorbed_UV_std,total_h2_desorbed_UV_ci95,total_h2_desorbed_beam_mean,total_h2_desorbed_beam_std,total_h2_desorbed_beam_ci95,total_h2_released_formed_mean,total_h2_released_formed_std,total_h2_released_formed_ci95,total_h2_released_beam_mean,total_h2_released_beam_std,total_h2_released_beam_ci95,h2_on_surface_mean,h2_on_surface_std,h2_on_surface_ci95,epsilon_mean,epsilon_std,epsilon_ci95,impinging_h_atoms_mean,impinging_h_atoms_std,impinging_h_atoms_ci95,impinging_h2_molecules_mean,impinging_h2_molecules_std,impinging_h2_molecules_ci95,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std,h2_release_rate_cm2_s_ci95
4000,0.005,25,100.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.3,9.060324352379643e-08,gas_kinetic,281063551.2425061,3248200.196467627,900355.1591449041,8.68,5.6872216235977975,1.5764174066534535,0.008849252890988445,0.005779842468888575,0.0016020905951449145,1372.9,38.57103174399044,10.691344536586591,19.78,4.190806264056732,1.161632230957802,0.0,0.0,0.0,1392.68,38.20377158429918,10.589545214030675,1392.68,38.20377158429918,10.589545214030675,1372.9,38.57103174399044,10.691344536586591,19.78,4.190806264056732,1.161632230957802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13926800000000003,0.003820377158429918,0.0010589545214030674,20000.0,0.0,0.0,0.0,0.0,0.0,2021524.2216655514,58242.101140894105,16143.886789573358
4000,0.005,25,150.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.3,9.060324352379643e-08,gas_kinetic,280897376.2650179,3460784.504009027,959280.5228759613,159.66,6.897529874335228,1.9118977378510598,0.1628083689756431,0.006630638143119966,0.0018379191242809676,0.7,3.0788945803217582,0.8534260366311777,429.92,14.952769179066765,4.144696157741843,0.0,0.0,0.0,430.62,15.27154216181195,4.233055520543051,430.62,15.27154216181195,4.233055520543051,0.7,3.0788945803217582,0.8534260366311777,429.92,14.952769179066765,4.144696157741843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043062,0.0015271542161811944,0.00042330555205430495,20000.0,0.0,0.0,0.0,0.0,0.0,625420.9580522083,22470.443746439407,6228.489234556237
4000,0.005,25,200.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.3,9.060324352379643e-08,gas_kinetic,281083996.63761556,3391936.3161902907,940196.7788481802,159.94,6.525960715887441,1.808904021776722,0.16311733855612043,0.006816399290478778,0.0018894094873365041,0.0,0.0,0.0,429.72,17.702807341071697,4.90696784582903,0.0,0.0,0.0,429.72,17.702807341071697,4.90696784582903,429.72,17.702807341071697,4.90696784582903,0.0,0.0,0.0,429.72,17.702807341071697,4.90696784582903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042972,0.0017702807341071697,0.0004906967845829031,20000.0,0.0,0.0,0.0,0.0,0.0,623682.4769084633,25549.239628121686,7081.8879133203245
4000,0.005,25,250.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.3,9.060324352379643e-08,gas_kinetic,281098592.11433256,3371763.626834427,934605.1946363662,159.86,6.449204981853127,1.787628417764721,0.1630368556587361,0.006768945916549848,0.0018762560831583359,0.0,0.0,0.0,429.66,17.800034395747552,4.9339178104220585,0.0,0.0,0.0,429.66,17.800034395747552,4.9339178104220585,429.66,17.800034395747552,4.9339178104220585,0.0,0.0,0.0,429.66,17.800034395747552,4.9339178104220585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042966,0.0017800034395747551,0.0004933917810422058,20000.0,0.0,0.0,0.0,0.0,0.0,623564.3168622057,25734.12247203915,7133.134823082689
4000,0.005,25,100.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.6,9.060324352379643e-08,gas_kinetic,280755159.9945212,3692212.0588385914,1023428.9682783367,8.68,5.697976726480216,1.5793985690762165,0.008869143173006432,0.005862090175039395,0.0016248884961613773,1355.28,39.279241025129345,10.88765013398208,39.56,7.69882047684539,2.134004161195568,0.0,0.0,0.0,1394.84,36.389816920537044,10.086742633774294,1394.84,36.389816920537044,10.086742633774294,1355.28,39.279241025129345,10.88765013398208,39.56,7.69882047684539,2.134004161195568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139484,0.003638981692053704,0.0010086742633774294,20000.0,0.0,0.0,0.0,0.0,0.0,2026873.2753509474,53986.679162031585,14964.343996252284
4000,0.005,25,150.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.6,9.060324352379643e-08,gas_kinetic,281138506.24118143,3555122.0070707165,985429.5446249312,131.64,7.012408826574531,1.9437405588195147,0.13423300661490042,0.006827904471281416,0.0018925985607513185,0.24,1.2866663141940229,0.3566457065492306,712.0,20.515797795447135,5.686689019104175,0.0,0.0,0.0,712.24,20.796938550210328,5.76461726049527,712.24,20.796938550210328,5.76461726049527,0.24,1.2866663141940229,0.3566457065492306,712.0,20.515797795447135,5.686689019104175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071224,0.002079693855021033,0.0005764617260495269,20000.0,0.0,0.0,0.0,0.0,0.0,1033531.3303181478,29926.940617924967,8295.324719231932
4000,0.005,25,200.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.6,9.060324352379643e-08,gas_kinetic,281113110.37042445,3703146.042385109,1026459.7138914975,133.18,8.784703774639375,2.4349956550269245,0.13581447845480527,0.008863022381654161,0.002456704465327314,0.0,0.0,0.0,714.16,21.148995248001732,5.862202398416485,0.0,0.0,0.0,714.16,21.148995248001732,5.862202398416485,714.16,21.148995248001732,5.862202398416485,0.0,0.0,0.0,714.16,21.148995248001732,5.862202398416485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071416,0.002114899524800173,0.0005862202398416483,20000.0,0.0,0.0,0.0,0.0,0.0,1036385.2452128113,29246.06032162921,8106.594329954615
4000,0.005,25,250.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.6,9.060324352379643e-08,gas_kinetic,281113103.25100726,3703143.6721665664,1026459.0569004365,133.18,8.784703774639375,2.4349956550269245,0.13581447845480527,0.008863022381654161,0.002456704465327314,0.0,0.0,0.0,714.16,21.148995248001732,5.862202398416485,0.0,0.0,0.0,714.16,21.148995248001732,5.862202398416485,714.16,21.148995248001732,5.862202398416485,0.0,0.0,0.0,714.16,21.148995248001732,5.862202398416485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071416,0.002114899524800173,0.0005862202398416483,20000.0,0.0,0.0,0.0,0.0,0.0,1036385.2715292234,29246.06762102159,8106.596353242957
4000,0.005,25,100.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.9,9.060324352379643e-08,gas_kinetic,281092766.6098747,3158990.641866286,875627.53219085,8.0,4.861342722049587,1.347495454537788,0.008164813567176849,0.004964453328664961,0.0013760762565245839,1349.38,38.41815578444066,10.648969482536796,55.72,8.685056366059616,2.407374802559834,0.0,0.0,0.0,1405.1,34.510720014487774,9.565883545182848,1405.1,34.510720014487774,9.565883545182848,1349.38,38.41815578444066,10.648969482536796,55.72,8.685056366059616,2.407374802559834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14051,0.0034510720014487776,0.0009565883545182848,20000.0,0.0,0.0,0.0,0.0,0.0,2039268.8573327903,50736.890482529496,14063.548532074195
4000,0.005,25,150.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.9,9.060324352379643e-08,gas_kinetic,280595072.18471116,3476561.440701825,963653.666613318,112.76,8.522622955453112,2.362350558236436,0.114980656559887,0.008473330545486232,0.002348687399275781,1.7,5.870194517515531,1.6271349052859756,911.14,20.61306302680266,5.713649565732922,0.0,0.0,0.0,912.84,20.518145279588154,5.687339708510473,912.84,20.518145279588154,5.687339708510473,1.7,5.870194517515531,1.6271349052859756,911.14,20.61306302680266,5.713649565732922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091284,0.0020518145279588154,0.0005687339708510473,20000.0,0.0,0.0,0.0,0.0,0.0,1327253.833211428,32474.00078656971,9001.333778028762
4000,0.005,25,200.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.9,9.060324352379643e-08,gas_kinetic,280913361.4032021,3634754.1100471215,1007502.4374307176,112.16,6.557002799624666,1.8175084483985209,0.11437860244711101,0.006579392871819179,0.0018237146597754796,0.0,0.0,0.0,915.1,23.507054954907925,6.515823202021369,0.0,0.0,0.0,915.1,23.507054954907925,6.515823202021369,915.1,23.507054954907925,6.515823202021369,0.0,0.0,0.0,915.1,23.507054954907925,6.515823202021369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09150999999999998,0.0023507054954907914,0.0006515823202021366,20000.0,0.0,0.0,0.0,0.0,0.0,1329003.157122188,35012.80961804606,9705.055682851065
4000,0.005,25,250.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.2,0.9,9.060324352379643e-08,gas_kinetic,280913354.1903353,3634751.86788188,1007501.815934221,112.16,6.557002799624666,1.8175084483985209,0.11437860244711101,0.006579392871819179,0.0018237146597754796,0.0,0.0,0.0,915.1,23.507054954907925,6.515823202021369,0.0,0.0,0.0,915.1,23.507054954907925,6.515823202021369,915.1,23.507054954907925,6.515823202021369,0.0,0.0,0.0,915.1,23.507054954907925,6.515823202021369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09150999999999998,0.0023507054954907914,0.0006515823202021366,20000.0,0.0,0.0,0.0,0.0,0.0,1329003.1912053511,35012.81373434941,9705.056823832141
4000,0.005,25,100.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.4,0.3,9.060324352379643e-08,gas_kinetic,281431781.73447835,3290001.3055130756,911941.8354304289,18.78,10.420329424069205,2.888367954399162,0.01914134533342832,0.010611639556992548,0.0029413964177806818,2342.96,47.87183569763358,13.269395862660815,39.78,7.751997767527742,2.148744154151443,0.0,0.0,0.0,2382.74,46.77597935797774,12.965639982661868,2382.74,46.77597935797774,12.965639982661868,2342.96,47.87183569763358,13.269395862660815,39.78,7.751997767527742,2.148744154151443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238274,0.004677597935797772,0.0012965639982661862,20000.0,0.0,0.0,0.0,0.0,0.0,3453956.024283,66751.97939699418,18502.704697381803
4000,0.005,25,150.0,100.0,1000.0,0.5,constant,0,0.0,0.0,pulse,2.0,True,True,True,0.2,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,rate_only,200.0,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,False,grain_cache_rerun,0.4,0.3,9.060324352379643e-08,gas_kinetic,281585684.9546807,3331329.371937149,923397.3909909707,328.98,11.372164369590319,3.1522031406620985,0.33547362754206267,0.01066887500649116,0.002957261274970855,9.62,59.552374479297214,16.507076029388124,885.12,34.7214219590319,9.624287144511014,0.0,0.0,0.0,894.74,46.643156857492535,12.928823463873268,894.74,46.643156857492535,12.928823463873268,9.62,59.552374479297214,16.507076029388124,885.12,34.7214219590319,9.624287144511014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08947400000000001,0.004664315685749253,0.0012928823463873266,20000.0,0.0,0.0,0.0,0.0,0.0,1296343.3769770795,68242.20554647162,18915.77431157423
