E_h2_bind_eV,eps_10k,eps_20k,eps_30_80k,er_blocking_strength,er_reaction_probability,objective,plateau_eps,stage,sticking_blocking_strength
,,,,,0.5,0.002352249999999999,0.15150000000000002,highT,
,,,,,0.6,0.0009579025000000003,0.16905,highT,
,,,,,0.7,0.0001276900000000001,0.1887,highT,
,,,,,0.8,9.120250000000006e-05,0.20955000000000001,highT,
0.055,0.08052892253060462,0.3567094101750348,0.506034820196301,1.0,0.8,0.042450347133322075,,ded,0.5
0.055,0.04735652461546943,0.29568894671816714,0.5078020919165525,1.0,0.8,0.04318170940489532,,ded,1.0
0.06,0.08052892253060462,0.29638347508604546,0.508621784640045,1.0,0.8,0.04352304902639734,,ded,0.5
0.06,0.04735652461546943,0.17251805195730427,0.5064317725084865,1.0,0.8,0.04261407670099552,,ded,1.0
0.065,0.08052892253060462,0.29694937907964347,0.5045658619760856,1.0,0.8,0.04184719188601889,,ded,0.5
0.065,0.04735652461546943,0.11435449724544966,0.504066603126977,1.0,0.8,0.042494713907096464,,ded,1.0
