temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.014641288433382138,0.0,0.0,1366.0,10.0,0.222125430257932,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0
11.5,0.043055555555555555,0.0,0.0,1440.0,31.0,0.3415949031772679,0.0,0.0,27.0,4.0,0.0,0.8709677419354839,0.12903225806451613,0.0
12.5,0.04723346828609987,0.0,0.0,1482.0,35.0,0.4423560505326508,0.0,0.0,31.0,4.0,0.0,0.8857142857142857,0.11428571428571428,0.0
13.5,0.027434842249657063,0.0,0.0,1458.0,20.0,0.5183697432779788,0.0,0.0,19.0,1.0,0.0,0.95,0.05,0.0
14.5,0.028905712319339298,0.0,0.0,1453.0,21.0,0.5845048399850566,0.0,0.0,18.0,3.0,0.0,0.8571428571428571,0.14285714285714285,0.0
15.5,0.05285118219749652,0.0,0.0,1438.0,38.0,0.6353162716868952,0.0,0.0,37.0,1.0,0.0,0.9736842105263158,0.02631578947368421,0.0
16.5,0.038900067069081154,0.0,0.0,1491.0,29.0,0.6716300812451098,0.0,0.0,28.0,1.0,0.0,0.9655172413793104,0.034482758620689655,0.0
17.5,0.04204625087596356,0.0,0.0,1427.0,30.0,0.7047656779609996,0.0,0.0,29.0,1.0,0.0,0.9666666666666667,0.03333333333333333,0.0
18.5,0.05851063829787234,0.0,0.0,1504.0,44.0,0.7330154650787954,0.0,0.0,43.0,1.0,0.0,0.9772727272727273,0.022727272727272728,0.0
19.5,0.056810845706907684,0.0,0.0,1549.0,44.0,0.7478690342506626,0.0,0.0,40.0,4.0,0.0,0.9090909090909091,0.09090909090909091,0.0
20.5,0.0965223562810504,0.0,0.0,1409.0,68.0,0.7196900000536446,0.0,0.0,63.0,5.0,0.0,0.9264705882352942,0.07352941176470588,0.0
21.5,0.13360881542699724,0.0,0.0,1452.0,97.0,0.5354446497690644,0.0,0.0,79.0,18.0,0.0,0.8144329896907216,0.18556701030927836,0.0
22.5,0.257739380849532,0.0,0.0,1389.0,179.0,0.18344880853857778,0.0,0.0,142.0,37.0,0.0,0.7932960893854749,0.20670391061452514,0.0
23.5,0.32395332875772137,0.0,0.0,1457.0,236.0,0.005119361070063102,0.0,0.0,184.0,52.0,0.0,0.7796610169491526,0.22033898305084745,0.0
24.5,0.30138797091870456,0.0,0.0,1513.0,228.0,0.0,0.0,0.0,186.0,42.0,0.0,0.8157894736842105,0.18421052631578946,0.0
25.5,0.3315436241610738,0.0,0.0,1490.0,247.0,0.0,0.0,0.0,195.0,52.0,0.0,0.7894736842105263,0.21052631578947367,0.0
26.5,0.33171408743927827,0.0,0.0,1441.0,239.0,0.0,0.0,0.0,191.0,48.0,0.0,0.799163179916318,0.200836820083682,0.0
27.5,0.3108665749656121,0.0,0.0,1454.0,226.0,0.0,0.0,0.0,178.0,48.0,0.0,0.7876106194690266,0.21238938053097345,0.0
28.5,0.35035552682611504,0.0,0.0,1547.0,271.0,0.0,0.0,0.0,208.0,63.0,0.0,0.7675276752767528,0.23247232472324722,0.0
29.5,0.31527777777777777,0.0,0.0,1440.0,227.0,0.0,0.0,0.0,174.0,53.0,0.0,0.7665198237885462,0.23348017621145375,0.0
30.5,0.3187626092804304,0.0,0.0,1487.0,237.0,0.0,0.0,0.0,184.0,53.0,0.0,0.7763713080168776,0.22362869198312235,0.0
31.5,0.34351663272233535,0.0,0.0,1473.0,253.0,0.0,0.0,0.0,205.0,48.0,0.0,0.8102766798418972,0.18972332015810275,0.0
32.5,0.35333333333333333,0.0,0.0,1500.0,265.0,0.0,0.0,0.0,214.0,51.0,0.0,0.8075471698113208,0.19245283018867926,0.0
33.5,0.30810448760884124,0.0,0.0,1493.0,230.0,0.0,0.0,0.0,187.0,43.0,0.0,0.8130434782608695,0.18695652173913044,0.0
34.5,0.33242506811989103,0.0,0.0,1468.0,244.0,0.0,0.0,0.0,187.0,57.0,0.0,0.7663934426229508,0.2336065573770492,0.0
35.5,0.32005494505494503,0.0,0.0,1456.0,233.0,0.0,0.0,0.0,192.0,41.0,0.0,0.8240343347639485,0.1759656652360515,0.0
36.5,0.3313915857605178,0.0,0.0,1545.0,256.0,0.0,0.0,0.0,200.0,56.0,0.0,0.78125,0.21875,0.0
37.5,0.3197903014416776,0.0,0.0,1526.0,244.0,0.0,0.0,0.0,183.0,61.0,0.0,0.75,0.25,0.0
38.5,0.3532646048109966,0.0,0.0,1455.0,257.0,0.0,0.0,0.0,214.0,43.0,0.0,0.8326848249027238,0.16731517509727625,0.0
39.5,0.28870292887029286,0.0,0.0,1434.0,207.0,0.0,0.0,0.0,154.0,53.0,0.0,0.7439613526570048,0.2560386473429952,0.0
40.5,0.32280701754385965,0.0,0.0,1425.0,230.0,0.0,0.0,0.0,180.0,50.0,0.0,0.782608695652174,0.21739130434782608,0.0
41.5,0.3360655737704918,0.0,0.0,1464.0,246.0,0.0,0.0,0.0,180.0,66.0,0.0,0.7317073170731707,0.2682926829268293,0.0
42.5,0.3155737704918033,0.0,0.0,1464.0,231.0,0.0,0.0,0.0,176.0,55.0,0.0,0.7619047619047619,0.23809523809523808,0.0
43.5,0.324,0.0,0.0,1500.0,243.0,0.0,0.0,0.0,188.0,55.0,0.0,0.7736625514403292,0.22633744855967078,0.0
44.5,0.3467202141900937,0.0,0.0,1494.0,259.0,0.0,0.0,0.0,200.0,59.0,0.0,0.7722007722007722,0.2277992277992278,0.0
45.5,0.3209710047201618,0.0,0.0,1483.0,238.0,0.0,0.0,0.0,183.0,55.0,0.0,0.7689075630252101,0.23109243697478993,0.0
46.5,0.32766825288919105,0.0,0.0,1471.0,241.0,0.0,0.0,0.0,189.0,52.0,0.0,0.7842323651452282,0.2157676348547718,0.0
47.5,0.31383344803854096,0.0,0.0,1453.0,228.0,0.0,0.0,0.0,183.0,45.0,0.0,0.8026315789473685,0.19736842105263158,0.0
48.5,0.3228882833787466,0.0,0.0,1468.0,237.0,0.0,0.0,0.0,178.0,59.0,0.0,0.7510548523206751,0.2489451476793249,0.0
49.5,0.3146374829001368,0.0,0.0,1462.0,230.0,0.0,0.0,0.0,181.0,49.0,0.0,0.7869565217391304,0.21304347826086956,0.0
50.5,0.3275017494751575,0.0,0.0,1429.0,234.0,0.0,0.0,0.0,179.0,55.0,0.0,0.7649572649572649,0.23504273504273504,0.0
