temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.04745126870285317,0.009006845473893896,0.00789484814704552,0.04745126870285317,0.009006845473893896,0.00789484814704552,531.8,12.6,12.6,0.10957659155156715,0.004125599507498622,0.003616247411108976,12.2,0.4,0.0,0.9682539682539683,0.031746031746031744,0.0
11.5,0.045027655714943916,0.016784142844859993,0.014711949863308071,0.045027655714943916,0.016784142844859993,0.014711949863308071,518.2,11.6,11.6,0.3331980726576366,0.0164115949469956,0.014385397232904292,10.8,0.8,0.0,0.9310344827586207,0.06896551724137931,0.0
12.5,0.025128648986678992,0.009568928122683935,0.008387535311619244,0.025128648986678992,0.009568928122683935,0.008387535311619244,520.8,6.6,6.6,0.5543631502625932,0.012120783662492578,0.010624335314281691,6.2,0.4,0.0,0.9393939393939394,0.06060606060606061,0.0
13.5,0.011767471950186343,0.0043271265223448555,0.0037928936280725,0.011767471950186343,0.0043271265223448555,0.0037928936280725,516.8,3.0,3.0,0.7606761388648364,0.013317357529485346,0.011673178552906373,2.6,0.4,0.0,0.8666666666666667,0.13333333333333333,0.0
14.5,0.003868967001214674,0.004623524729831994,0.004052698111889829,0.006262737694141604,0.0043698731148588965,0.003830362668446309,514.4,1.0,1.6,0.9279668286244572,0.013138485302066726,0.011516390132666797,1.0,0.0,0.0,1.0,0.0,0.0
15.5,0.0,0.0,0.0,0.003807984460448667,0.0026709089637352427,0.002341154929813205,522.2,0.0,1.0,0.970212654567324,0.008843600636985562,0.0077517577385427805,0.0,0.0,0.0,0.0,0.0,0.0
16.5,0.0,0.0,0.0,0.042390136748419883,0.00672716124337151,0.005896616815626036,517.8,0.0,11.0,0.9702979909111965,0.008763709877247899,0.007681730400080155,0.0,0.0,0.0,0.0,0.0,0.0
17.5,0.0,0.0,0.0,0.2251591566118439,0.03139709685860737,0.027520768805820543,512.2,0.0,57.8,0.9459513415414476,0.010738876573685895,0.009413040344130742,0.0,0.0,0.0,0.0,0.0,0.0
18.5,0.010807437193447173,0.002929047311707407,0.0025674231681299844,0.6273471224625773,0.03535909757849505,0.03099361555695675,515.8,2.8,161.8,0.5799566328461643,0.017236318137991414,0.015108298983037668,2.2,0.6,0.0,0.7857142857142857,0.21428571428571427,0.0
19.5,0.02991076751193687,0.013890596699313201,0.01217564483933782,0.4636646166878978,0.037630675320869104,0.032984741238221316,514.8,7.6,119.0,0.07888101675441297,0.00398332715797534,0.0034915401983267305,6.2,1.4,0.0,0.8157894736842105,0.18421052631578946,0.0
20.5,0.3673077383749321,0.029338772456157715,0.025716567918639906,0.3927582946397676,0.03781769042792831,0.033148667207165194,502.4,92.4,98.8,0.0010112967114314017,0.00048225931580087814,0.00042271892826201433,80.0,12.4,0.0,0.8658008658008658,0.1341991341991342,0.0
21.5,0.3362713151758482,0.03666319483885445,0.032136707205343215,0.3362713151758482,0.03666319483885445,0.032136707205343215,518.8,87.4,87.4,0.0,0.0,0.0,73.4,14.0,0.0,0.8398169336384439,0.16018306636155608,0.0
22.5,0.34403101833611865,0.024628454325117503,0.021587792036270884,0.34403101833611865,0.024628454325117503,0.021587792036270884,532.8,91.6,91.6,0.0,0.0,0.0,75.0,16.6,0.0,0.8187772925764192,0.1812227074235808,0.0
23.5,0.32372589780494765,0.015522846260191327,0.013606374661289947,0.32372589780494765,0.015522846260191327,0.013606374661289947,495.2,80.2,80.2,0.0,0.0,0.0,65.4,14.8,0.0,0.8154613466334164,0.18453865336658354,0.0
