temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.06533575317604355,0.0,0.0,551.0,18.0,0.09330988013927974,0.0,0.0,17.0,1.0,0.0,0.9444444444444444,0.05555555555555555,0.0
11.5,0.055666003976143144,0.0,0.0,503.0,14.0,0.10285829673903828,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0
12.5,0.08349146110056926,0.0,0.0,527.0,22.0,0.006527005752647017,0.0,0.0,18.0,4.0,0.0,0.8181818181818182,0.18181818181818182,0.0
13.5,0.09416195856873823,0.0,0.0,531.0,25.0,0.0008248209711233631,0.0,0.0,23.0,2.0,0.0,0.92,0.08,0.0
14.5,0.06679035250463822,0.0,0.0,539.0,18.0,0.00011631375793855618,0.0,0.0,16.0,2.0,0.0,0.8888888888888888,0.1111111111111111,0.0
15.5,0.1371841155234657,0.0,0.0,554.0,38.0,2.2985460232241902e-05,0.0,0.0,33.0,5.0,0.0,0.868421052631579,0.13157894736842105,0.0
16.5,0.08943089430894309,0.0,0.0,492.0,22.0,5.855180506103725e-06,0.0,0.0,21.0,1.0,0.0,0.9545454545454546,0.045454545454545456,0.0
17.5,0.08949416342412451,0.0,0.0,514.0,23.0,1.7844532799499475e-06,0.0,0.0,22.0,1.0,0.0,0.9565217391304348,0.043478260869565216,0.0
18.5,0.09836065573770492,0.0,0.0,488.0,24.0,5.961926864944805e-07,0.0,0.0,20.0,4.0,0.0,0.8333333333333334,0.16666666666666666,0.0
19.5,0.3510848126232742,0.0,0.0,507.0,89.0,0.0,0.0,0.0,79.0,10.0,0.0,0.8876404494382022,0.11235955056179775,0.0
20.5,0.3742690058479532,0.0,0.0,513.0,96.0,0.0,0.0,0.0,77.0,19.0,0.0,0.8020833333333334,0.19791666666666666,0.0
21.5,0.3360655737704918,0.0,0.0,488.0,82.0,0.0,0.0,0.0,65.0,17.0,0.0,0.7926829268292683,0.2073170731707317,0.0
22.5,0.2756052141527002,0.0,0.0,537.0,74.0,0.0,0.0,0.0,65.0,9.0,0.0,0.8783783783783784,0.12162162162162163,0.0
23.5,0.3775933609958506,0.0,0.0,482.0,91.0,0.0,0.0,0.0,82.0,9.0,0.0,0.9010989010989011,0.0989010989010989,0.0
24.5,0.26217228464419473,0.0,0.0,534.0,70.0,0.0,0.0,0.0,62.0,8.0,0.0,0.8857142857142857,0.11428571428571428,0.0
25.5,0.32532347504621073,0.0,0.0,541.0,88.0,0.0,0.0,0.0,66.0,22.0,0.0,0.75,0.25,0.0
26.5,0.28901734104046245,0.0,0.0,519.0,75.0,0.0,0.0,0.0,59.0,16.0,0.0,0.7866666666666666,0.21333333333333335,0.0
27.5,0.33528265107212474,0.0,0.0,513.0,86.0,0.0,0.0,0.0,71.0,15.0,0.0,0.8255813953488372,0.1744186046511628,0.0
28.5,0.2814814814814815,0.0,0.0,540.0,76.0,0.0,0.0,0.0,59.0,17.0,0.0,0.7763157894736842,0.2236842105263158,0.0
29.5,0.3180987202925046,0.0,0.0,547.0,87.0,0.0,0.0,0.0,68.0,19.0,0.0,0.7816091954022989,0.21839080459770116,0.0
30.5,0.26691042047531993,0.0,0.0,547.0,73.0,0.0,0.0,0.0,58.0,15.0,0.0,0.7945205479452054,0.2054794520547945,0.0
31.5,0.2584493041749503,0.0,0.0,503.0,65.0,0.0,0.0,0.0,54.0,11.0,0.0,0.8307692307692308,0.16923076923076924,0.0
32.5,0.25101214574898784,0.0,0.0,494.0,62.0,0.0,0.0,0.0,48.0,14.0,0.0,0.7741935483870968,0.22580645161290322,0.0
33.5,0.31758034026465026,0.0,0.0,529.0,84.0,0.0,0.0,0.0,69.0,15.0,0.0,0.8214285714285714,0.17857142857142858,0.0
34.5,0.28627450980392155,0.0,0.0,510.0,73.0,0.0,0.0,0.0,59.0,14.0,0.0,0.8082191780821918,0.1917808219178082,0.0
35.5,0.31809145129224653,0.0,0.0,503.0,80.0,0.0,0.0,0.0,64.0,16.0,0.0,0.8,0.2,0.0
36.5,0.2723735408560311,0.0,0.0,514.0,70.0,0.0,0.0,0.0,55.0,15.0,0.0,0.7857142857142857,0.21428571428571427,0.0
37.5,0.28,0.0,0.0,500.0,70.0,0.0,0.0,0.0,61.0,9.0,0.0,0.8714285714285714,0.12857142857142856,0.0
38.5,0.29571984435797666,0.0,0.0,514.0,76.0,0.0,0.0,0.0,64.0,12.0,0.0,0.8421052631578947,0.15789473684210525,0.0
39.5,0.31388329979879276,0.0,0.0,497.0,78.0,0.0,0.0,0.0,69.0,9.0,0.0,0.8846153846153846,0.11538461538461539,0.0
40.5,0.2549800796812749,0.0,0.0,502.0,64.0,0.0,0.0,0.0,52.0,12.0,0.0,0.8125,0.1875,0.0
41.5,0.311284046692607,0.0,0.0,514.0,80.0,0.0,0.0,0.0,68.0,12.0,0.0,0.85,0.15,0.0
42.5,0.283495145631068,0.0,0.0,515.0,73.0,0.0,0.0,0.0,61.0,12.0,0.0,0.8356164383561644,0.1643835616438356,0.0
43.5,0.3493282149712092,0.0,0.0,521.0,91.0,0.0,0.0,0.0,75.0,16.0,0.0,0.8241758241758241,0.17582417582417584,0.0
