temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.06982176249148415,0.018844490587022977,0.01651792428594381,0.12190273585263704,0.009559237098210922,0.008379040754137883,534.4,18.6,32.6,0.08880151486005494,0.00381651483130693,0.0033453227471758676,17.6,1.0,0.0,0.946236559139785,0.053763440860215055,0.0
11.5,0.0849469995218562,0.022293153813558945,0.01954081088511078,0.6252272647238069,0.02634610766510496,0.023093381571227558,525.4,22.4,164.2,0.10027431956957278,0.0018958740576294623,0.0016618068816980297,20.2,2.2,0.0,0.9017857142857143,0.09821428571428571,0.0
12.5,0.10361098832683327,0.019745611953120027,0.017307791989127436,0.533566293886816,0.010870250260247825,0.009528194457624775,519.2,27.0,138.6,0.006975942813365546,0.0006708886276420026,0.0005880598100817124,25.0,2.0,0.0,0.9259259259259259,0.07407407407407407,0.0
13.5,0.10891941924556807,0.011432062425007439,0.010020644532492387,0.508646116119317,0.018176960275865094,0.01593280817004989,521.6,28.4,132.6,0.000725808578024277,6.67417362674131e-05,5.850171121827712e-05,26.4,2.0,0.0,0.9295774647887324,0.07042253521126761,0.0
14.5,0.09632990928963739,0.023199327937640533,0.020335107525942697,0.5214406982161156,0.020272160525334273,0.017769332162290628,528.0,25.4,137.6,0.00011301110315580355,9.963767031902343e-06,8.733626874959542e-06,21.6,3.8,0.0,0.8503937007874016,0.14960629921259844,0.0
15.5,0.103581811002209,0.025873756966482014,0.02267934792886211,0.49603068006898254,0.03346508349312142,0.029333439012823637,527.0,27.4,131.0,2.3343499794241316e-05,3.6861716853844734e-06,3.2310719423798226e-06,24.4,3.0,0.0,0.8905109489051095,0.10948905109489052,0.0
16.5,0.10899297607704413,0.011458756369736346,0.01004404280669296,0.4709002869440459,0.033108581890541125,0.029020951580380434,506.4,27.6,119.4,5.535012542049389e-06,4.3752895098039773e-07,3.835110347944063e-07,24.4,3.2,0.0,0.8840579710144928,0.11594202898550725,0.0
17.5,0.08494525158804653,0.013233367868940598,0.01159955836947538,0.4529981325094301,0.014793190990867204,0.012966803618608882,500.6,21.2,113.4,1.7109921622177205e-06,1.3455764565161606e-07,1.1794497668718225e-07,18.8,2.4,0.0,0.8867924528301887,0.11320754716981132,0.0
18.5,0.08193802735926795,0.019580429470662797,0.017163003159416556,0.419755497530841,0.028519481937599987,0.024998428115855984,510.8,21.0,107.2,5.992546938109061e-07,4.506395832715941e-08,3.950030106866049e-08,18.4,2.6,0.0,0.8761904761904762,0.12380952380952381,0.0
19.5,0.3904734851112027,0.04339029185912186,0.038033267726936465,0.3904734851112027,0.04339029185912186,0.038033267726936465,514.6,100.4,100.4,0.0,0.0,0.0,89.6,10.8,0.0,0.8924302788844621,0.10756972111553785,0.0
