temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.1807096272457741,0.015011534427254614,0.0065790950394802586,0.1807096272457741,0.015011534427254614,0.0065790950394802586,512.4,46.35,46.35,0.05200184503460763,0.006462652252100699,0.002832382231125297,42.95,3.4,0.0,0.9266450916936354,0.07335490830636461,0.0
11.5,0.24232695120189698,0.03241111770855775,0.014204798634924139,0.24232695120189698,0.03241111770855775,0.014204798634924139,518.25,62.7,62.7,0.17239505879543013,0.008667881188049908,0.003798866425244761,56.1,6.6,0.0,0.8947368421052632,0.10526315789473684,0.0
12.5,0.20636021372275856,0.020236665219024962,0.008869109577258514,0.20636021372275856,0.020236665219024962,0.008869109577258514,516.0,53.25,53.25,0.29047589794015594,0.011902929470165177,0.005216688847628279,49.0,4.25,0.0,0.92018779342723,0.07981220657276995,0.0
13.5,0.18007077479314396,0.025632961145833192,0.011234140542992007,0.18007077479314396,0.025632961145833192,0.011234140542992007,508.45,45.8,45.8,0.40251732641709453,0.014707261583400362,0.0064457415860174625,41.55,4.25,0.0,0.9072052401746725,0.0927947598253275,0.0
14.5,0.13927373913528449,0.015357946458979718,0.006730916806307843,0.13927373913528449,0.015357946458979718,0.006730916806307843,506.35,35.3,35.3,0.5110006174813801,0.017294974457649232,0.007579856757059542,32.9,2.4,0.0,0.9320113314447592,0.0679886685552408,0.0
15.5,0.0980624359526623,0.019878149590360678,0.00871198317518739,0.09941591717684163,0.01917903529764916,0.00840558282700864,509.65,25.0,25.35,0.6103954964959962,0.01867190017196567,0.008183321058506627,22.8,2.2,0.0,0.912,0.088,0.0
16.5,0.05607364408265249,0.018853980346642922,0.00826312121350157,0.07126433520984703,0.020243697584373242,0.008872191647262943,512.6,14.45,18.35,0.6985798703296553,0.01986694628902317,0.008707073111888225,13.1,1.35,0.0,0.9065743944636678,0.09342560553633218,0.0
17.5,0.0397778441615364,0.011900256413834484,0.005215517329038308,0.15052882701139722,0.025500704562917764,0.011176176539857344,501.85,9.95,37.7,0.7451667503633844,0.02013782344952312,0.008825790261796508,8.7,1.25,0.0,0.8743718592964824,0.12562814070351758,0.0
18.5,0.06540657212264697,0.013489751810348604,0.005912144401317904,0.521963778806551,0.03125470645995574,0.013697979059207516,516.8,16.95,134.75,0.5805238967239192,0.01654031815017251,0.007249114047638824,15.05,1.9,0.0,0.887905604719764,0.11209439528023599,0.0
19.5,0.16288237267794553,0.019096884169465592,0.008369578507627476,0.6483532210193829,0.04389994668625608,0.019239999939820705,508.45,41.45,164.65,0.14762183840007914,0.007413382581533578,0.0032490581695223033,36.5,4.95,0.0,0.8805790108564535,0.11942098914354644,0.0
20.5,0.35542135661302704,0.02144804492311208,0.00940002014077938,0.384407630316011,0.02473804178390063,0.010841924839570265,508.05,90.3,97.65,0.0021669734829514566,0.0006017375354140873,0.0002637231026246209,78.25,12.05,0.0,0.8665559246954596,0.13344407530454042,0.0
21.5,0.34699968012801513,0.030589405054674074,0.013406397862331271,0.34699968012801513,0.030589405054674074,0.013406397862331271,509.35,88.5,88.5,0.0,0.0,0.0,74.35,14.15,0.0,0.8401129943502825,0.1598870056497175,0.0
