temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.05653495303756482,0.015924815641316807,0.013958716358829426,511.4,14.6,0.08806848293169886,0.009029851840871163,0.007915014116832297,13.4,1.2,0.0,0.9178082191780822,0.0821917808219178,0.0
11.5,0.08587014701173148,0.017946499367473417,0.015730800277180396,528.0,22.6,0.09570433944323432,0.004902128485687222,0.004296905071146415,18.2,4.4,0.0,0.8053097345132744,0.19469026548672566,0.0
12.5,0.08044030689274345,0.016318438412206326,0.014303741929924133,515.0,20.6,0.006390029725529321,0.0003629228330040452,0.0003181158890720689,16.0,4.6,0.0,0.7766990291262136,0.22330097087378642,0.0
13.5,0.08665004776632361,0.008310415036400681,0.007284399953510298,516.8,22.4,0.0006858002702510968,3.88088858601824e-05,3.4017488310444105e-05,16.2,6.2,0.0,0.7232142857142857,0.2767857142857143,0.0
14.5,0.09840703134007209,0.009942774456033662,0.008715226070906785,510.2,25.2,0.00011688162196631165,6.3787899299222105e-06,5.591255895818895e-06,17.2,8.0,0.0,0.6825396825396826,0.31746031746031744,0.0
15.5,0.07294671413856668,0.02093931091935431,0.0183541152661305,515.6,18.8,2.117484428564999e-05,2.039254353162022e-06,1.7874852519763965e-06,11.4,7.4,0.0,0.6063829787234043,0.39361702127659576,0.0
16.5,0.08327904874841843,0.022826966414034665,0.02000871825977936,514.4,21.8,5.752050313180244e-06,4.6647462704079424e-07,4.0888303853009434e-07,11.8,10.0,0.0,0.5412844036697247,0.45871559633027525,0.0
17.5,0.06574649278905989,0.014822925915991844,0.01299286742965163,518.4,17.2,1.5427213537913432e-06,1.3524592798381185e-07,1.1854828275152298e-07,7.0,10.2,0.0,0.4069767441860465,0.5930232558139535,0.0
18.5,0.06460871450965336,0.01818277827106794,0.01593790786769429,513.6,16.6,5.209883382798946e-07,4.4181859686825674e-08,3.872710751978311e-08,5.0,11.6,0.0,0.30120481927710846,0.6987951807228916,0.0
19.5,0.2892816817325088,0.015224057915526551,0.013344475129864357,523.8,75.8,0.0,0.0,0.0,29.6,46.2,0.0,0.39050131926121373,0.6094986807387863,0.0
20.5,0.2826053100669861,0.02366591280265585,0.020744087192317847,537.8,76.0,0.0,0.0,0.0,26.6,49.4,0.0,0.35,0.65,0.0
21.5,0.27327138920364946,0.026968498278969473,0.023638930997921838,523.4,71.4,0.0,0.0,0.0,21.8,49.6,0.0,0.30532212885154064,0.6946778711484594,0.0
22.5,0.2571927866666177,0.03472861712730813,0.030440975075199984,519.2,66.8,0.0,0.0,0.0,21.2,45.6,0.0,0.31736526946107785,0.6826347305389222,0.0
