temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.1723716487497056,0.015052998811654329,0.009329945324684586,0.1723716487497056,0.015052998811654329,0.009329945324684586,525.1,45.3,45.3,0.059147717722447604,0.005530642406883137,0.003427927678214618,41.1,4.2,0.0,0.9072847682119205,0.09271523178807947,0.0
11.5,0.2046889339583439,0.022650867241813585,0.014039152966596464,0.2046889339583439,0.022650867241813585,0.014039152966596464,505.5,51.7,51.7,0.1911958185227455,0.00800169047610677,0.004959499139090206,46.9,4.8,0.0,0.90715667311412,0.09284332688588008,0.0
12.5,0.17255787387046326,0.032239025194578316,0.019981954835050428,0.17255787387046326,0.032239025194578316,0.019981954835050428,514.5,44.4,44.4,0.32281936290748237,0.008529348609730494,0.005286545038610437,40.6,3.8,0.0,0.9144144144144144,0.08558558558558559,0.0
13.5,0.16418410682762627,0.023627795924187206,0.014644659637174639,0.16418410682762627,0.023627795924187206,0.014644659637174639,521.6,42.9,42.9,0.4467936615394569,0.012219267239903622,0.007573580300009412,38.6,4.3,0.0,0.8997668997668997,0.10023310023310024,0.0
14.5,0.11651815659149345,0.025560795851512778,0.015842745404683233,0.11651815659149345,0.025560795851512778,0.015842745404683233,504.5,29.5,29.5,0.5594727405852965,0.013470720895324206,0.008349239311714836,28.0,1.5,0.0,0.9491525423728814,0.05084745762711865,0.0
15.5,0.07235982403510052,0.015873358213829583,0.009838409350002932,0.0735838121824505,0.015425435858970974,0.009560784198176093,519.4,18.8,19.1,0.6638802290897752,0.013466275955455215,0.00834648430944133,17.6,1.2,0.0,0.9361702127659575,0.06382978723404255,0.0
16.5,0.03985171736028083,0.009579404198992758,0.005937376235654801,0.05467525799251081,0.013324419698109944,0.008258560890223953,502.2,10.0,13.7,0.7611015689044004,0.010864952606006536,0.006734167393333486,9.1,0.9,0.0,0.91,0.09,0.0
17.5,0.031762116466852355,0.010615371320344248,0.006579475309820478,0.14942730049594397,0.021934088414553837,0.013594888846742325,512.2,8.1,38.2,0.8108815591655029,0.011398680940000641,0.007064975642022422,7.2,0.9,0.0,0.8888888888888888,0.1111111111111111,0.0
18.5,0.04919777723384718,0.013625815391724255,0.0084453678765063,0.535296021583944,0.03670526686711492,0.022750160103181635,513.1,12.7,137.3,0.6314411563879331,0.011692799183896348,0.007247272018237813,11.2,1.5,0.0,0.8818897637795275,0.11811023622047244,0.0
19.5,0.1360222875736596,0.019356668508103057,0.01199738743809798,0.6057594339256462,0.02877818594629802,0.017836904445557366,518.8,35.3,157.2,0.15543337512285388,0.0055988884007342745,0.0034702269834379004,30.9,4.4,0.0,0.8753541076487252,0.12464589235127478,0.0
