temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.18085555846868218,0.02004739287496454,0.012425502836091342,0.18085555846868218,0.02004739287496454,0.012425502836091342,521.0,47.0,47.0,0.5318065780036247,0.010909736518422437,0.006761924749823962,43.4,3.6,0.0,0.9234042553191489,0.07659574468085106,0.0
11.5,0.08736940902466858,0.018790080460826065,0.011646212528111178,0.08736940902466858,0.018790080460826065,0.011646212528111178,520.5,22.8,22.8,0.7399774813413187,0.018847075739325266,0.011681538567714065,21.6,1.2,0.0,0.9473684210526315,0.05263157894736842,0.0
12.5,0.024129478496256622,0.010782751937679651,0.006683218891261686,0.024129478496256622,0.010782751937679651,0.006683218891261686,528.0,6.4,6.4,0.9202367025298193,0.012237834538024827,0.007585088430612854,6.0,0.4,0.0,0.9375,0.0625,0.0
13.5,0.0003787878787878788,0.001197832447033477,0.0007424242424242425,0.0003787878787878788,0.001197832447033477,0.0007424242424242425,524.0,0.1,0.1,0.9538824767508463,0.002470613062988001,0.0015313018412173973,0.0,0.1,0.0,0.0,1.0,0.0
14.5,0.0004,0.0012649110640673518,0.000784,0.0004,0.0012649110640673518,0.000784,522.7,0.1,0.1,0.9542485528996633,0.0024755169587652023,0.0015343413073099484,0.0,0.1,0.0,0.0,1.0,0.0
15.5,0.000748510848160727,0.0015791154392166824,0.000978745889347331,0.0015117252248204817,0.001953318311687699,0.0012106792326085738,527.9,0.2,0.4,0.9544594684953779,0.002410067400969616,0.0014937752511109117,0.0,0.2,0.0,0.0,1.0,0.0
16.5,0.0014792415788914576,0.0019109903947957879,0.0011844441179147778,0.011745461314305638,0.004215777889405874,0.002612966207020399,527.9,0.4,3.1,0.9548256584737305,0.00224757396664039,0.001393060777079455,0.1,0.3,0.0,0.25,0.75,0.0
17.5,0.0034949487068361646,0.004283212686192907,0.0026547627270943346,0.060364210003588735,0.012753859636080549,0.007904924099987744,531.5,0.9,16.0,0.9522003107968899,0.0031439600095483104,0.0019486466025208475,0.9,0.0,0.0,1.0,0.0,0.0
18.5,0.02717317722376545,0.005520201202915513,0.0034214561529484107,0.24601376527419888,0.025006479282236503,0.01549917643556126,521.9,7.1,64.2,0.789326836210965,0.010633066204249406,0.006590442712490698,6.3,0.8,0.0,0.8873239436619719,0.11267605633802817,0.0
19.5,0.13883962555509943,0.02542441024482008,0.015758212729869516,0.41947932164896623,0.023925907828914964,0.014829431310018602,520.8,36.3,109.3,0.2225781814582956,0.010391839861943919,0.006440929076520612,31.6,4.7,0.0,0.8705234159779615,0.12947658402203857,0.0
20.5,0.3650358363520331,0.028463436741024962,0.01764182086700078,0.38856494337022535,0.03269875240867138,0.02026689671443442,528.4,96.4,102.6,0.00405746937286174,0.0008898620599458815,0.0005515422189084621,82.5,13.9,0.0,0.8558091286307054,0.1441908713692946,0.0
21.5,0.3448223509836563,0.032640336569603585,0.020230690202269145,0.3448223509836563,0.032640336569603585,0.020230690202269145,538.0,92.8,92.8,0.0,0.0,0.0,78.8,14.0,0.0,0.8491379310344828,0.15086206896551724,0.0
22.5,0.33443629545081277,0.03239817630563299,0.020080597715653944,0.33443629545081277,0.03239817630563299,0.020080597715653944,513.7,86.0,86.0,0.0,0.0,0.0,73.1,12.9,0.0,0.85,0.15,0.0
23.5,0.31374759814016057,0.043457781985142725,0.026935412333888596,0.31374759814016057,0.043457781985142725,0.026935412333888596,517.6,81.1,81.1,0.0,0.0,0.0,68.9,12.2,0.0,0.8495684340320592,0.1504315659679408,0.0
24.5,0.31798945379109533,0.018195922301131554,0.011277949485409472,0.31798945379109533,0.018195922301131554,0.011277949485409472,525.7,83.5,83.5,0.0,0.0,0.0,70.8,12.7,0.0,0.8479041916167664,0.15209580838323353,0.0
25.5,0.31219615653645283,0.02203773334298425,0.01365912863892831,0.31219615653645283,0.02203773334298425,0.01365912863892831,518.9,81.0,81.0,0.0,0.0,0.0,68.5,12.5,0.0,0.845679012345679,0.15432098765432098,0.0
26.5,0.30700161703636686,0.01937260989065785,0.012007268009371323,0.30700161703636686,0.01937260989065785,0.012007268009371323,530.5,81.5,81.5,0.0,0.0,0.0,68.4,13.1,0.0,0.8392638036809816,0.1607361963190184,0.0
27.5,0.28685131216223925,0.02509608273094628,0.015554713228450538,0.28685131216223925,0.02509608273094628,0.015554713228450538,532.7,76.4,76.4,0.0,0.0,0.0,62.6,13.8,0.0,0.819371727748691,0.1806282722513089,0.0
28.5,0.2997173881974288,0.0313284461275696,0.01941757208213237,0.2997173881974288,0.0313284461275696,0.01941757208213237,525.0,78.7,78.7,0.0,0.0,0.0,66.8,11.9,0.0,0.8487928843710292,0.15120711562897077,0.0
29.5,0.29705636723633694,0.017033730730370664,0.010557615686963054,0.29705636723633694,0.017033730730370664,0.010557615686963054,519.3,77.1,77.1,0.0,0.0,0.0,63.5,13.6,0.0,0.8236057068741893,0.17639429312581065,0.0
