E_chem_mean_eV,E_h2_bind_eV,E_phys_mean_meV,adsorption_rate_cm2_s_ci95,adsorption_rate_cm2_s_mean,adsorption_rate_cm2_s_std,adsorption_rate_s_ci95,adsorption_rate_s_mean,adsorption_rate_s_std,arrival_rate_per_site_s,beam_dissociation_fraction,chemisorption_fraction,diffusion_mode,diffusion_rate_cap_s,enable_LH,enable_chemisorption_diffusion,enable_diffusion,enable_grain_cache,enable_h2_blocking,epsilon_ci95,epsilon_mean,epsilon_std,er_blocking_strength,er_cross_section_cm2,er_reaction_probability,final_h_atoms_on_surface_ci95,final_h_atoms_on_surface_mean,final_h_atoms_on_surface_std,final_time_ci95,final_time_mean,final_time_std,gas_flux_h_cm2_s,gas_temperature_k,grain_cache_dir,grain_radius_um,h2_beam_stick_probability,h2_desorption_prefactor_s,h2_formed_ER_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_LH_ci95,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_UV_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_on_surface_ci95,h2_on_surface_mean,h2_on_surface_std,h2_release_rate_cm2_s_ci95,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std,h2_release_rate_s_ci95,h2_release_rate_s_mean,h2_release_rate_s_std,h2_stick_prob_lowT,h2_stick_transition_K,h_gas_density_cm3,heterogeneity_E_bind_sigma_meV,heterogeneity_E_chem_sigma_eV,impinging_h2_molecules_ci95,impinging_h2_molecules_mean,impinging_h2_molecules_std,impinging_h_atoms_ci95,impinging_h_atoms_mean,impinging_h_atoms_std,initial_h_count,initial_h_coverage,lh_exclude_chemisorption,lh_formation_mode,porosity_fraction,rng_seed,site_area_angstroms_sq,sticking_blocking_strength,sticking_probability,sticking_temp_model,surface_defect_fraction,surface_temperature_k,total_h2_desorbed_ER_ci95,total_h2_desorbed_ER_mean,total_h2_desorbed_ER_std,total_h2_desorbed_LH_ci95,total_h2_desorbed_LH_mean,total_h2_desorbed_LH_std,total_h2_desorbed_UV_ci95,total_h2_desorbed_UV_mean,total_h2_desorbed_UV_std,total_h2_desorbed_beam_ci95,total_h2_desorbed_beam_mean,total_h2_desorbed_beam_std,total_h2_desorbed_ci95,total_h2_desorbed_mean,total_h2_desorbed_std,total_h2_formed_ci95,total_h2_formed_mean,total_h2_formed_std,total_h2_released_beam_ci95,total_h2_released_beam_mean,total_h2_released_beam_std,total_h2_released_formed_ci95,total_h2_released_formed_gas_ci95,total_h2_released_formed_gas_mean,total_h2_released_formed_gas_std,total_h2_released_formed_mean,total_h2_released_formed_std,total_h2_released_total_gas_ci95,total_h2_released_total_gas_mean,total_h2_released_total_gas_std,use_3d_lattice,uv_defect_creation_rate,uv_flux_factor,uv_pulse_duration,uv_pulse_enabled,uv_stimulated_diffusion_factor
1.75,0.051,45.0,432.11641891701345,26554.81989972997,985.9609049920593,1.3575337671652185e-09,8.342442711439178e-08,3.097487535849797e-09,9.060324352379643e-10,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0018802495976528446,0.058865,0.0042901693010391736,1.0,1.1e-15,0.9,1.0154635964865868,3.0,2.3169853371636986,89139375.19583663,28331278170.75772,203389492.25484627,362412.9740951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.6015971724457627,3.1,1.3726654823065194,19.031133074655937,1072.7,43.42337473854618,0.0,0.0,0.0,2.4587527861006873,901.0,5.610141193457284,210.2508408824053,6615.366941871051,479.72976789750015,6.605224971272414e-10,2.0782788185382875e-08,1.507115514535124e-09,0.45,20.0,10.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.48999999999999994,1.75,1.118033988749895,18.73550435319052,586.9,42.74883808824208,0.0,0.0,0.0,0.0,0.0,0.0,18.802495976528448,588.65,42.90169301039173,19.20905260273751,1075.8,43.82933408478606,0.0,0.0,0.0,0.16055889229418857,18.77792199702394,588.8,42.845622511769534,0.15,0.36634754853252327,18.77792199702394,588.8,42.845622511769534,True,0.5,0.0,1e-06,True,2.0
1.75,0.051,45.0,501.5831568197755,26600.5486482504,1144.46330103873,1.5757699606293859e-09,8.356808821480139e-08,3.5954374988464025e-09,9.060324352379643e-10,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0017711078727288485,0.05936499999999999,0.004041140407047705,1.0,1.1e-15,0.9,1.133986354693732,3.2,2.587418953726911,47101353.78471706,28328586967.108154,107471253.97438198,362412.9740951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.8704625509644737,3.95,1.9861361590045288,20.506664072160078,1074.55,46.790096792961826,0.0,0.0,0.0,3.066566878620557,898.7,6.996991834841748,197.88059985589726,6676.600861007637,451.5045639859402,6.216602387952287e-10,2.097516021589289e-08,1.4184434212804934e-09,0.45,20.0,10.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.5296582810990894,2.25,1.2085223687584246,17.995970870696233,591.4,41.0614430489621,0.0,0.0,0.0,0.0,0.0,0.0,17.711078727288484,593.65,40.41140407047705,20.086288488995617,1078.5,45.83092497659769,0.0,0.0,0.0,0.30079858622288136,17.67297969693908,594.2,40.32447343605043,0.55,0.6863327411532597,17.67297969693908,594.2,40.32447343605043,True,0.5,1.0,1e-06,True,2.0
1.75,0.051,45.0,296.01359273462646,26875.243337177486,675.4148118556761,9.29954128297823e-10,8.443106703151487e-08,2.1218782110515238e-09,9.060324352379643e-10,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0012725688722960507,0.060094999999999996,0.002903622963779815,1.0,1.1e-15,0.9,0.8168385783971608,2.0,1.8637822325921867,76339228.06588005,28447112785.696587,174183370.71955878,362412.9740951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.8400245610444343,4.9,1.9166857359844665,14.376584002430736,1076.4,32.80308072823585,0.0,0.0,0.0,2.838173467492596,895.4,6.475866127805851,136.51162055063574,6727.812970864351,311.4788400713049,4.2886390425151474e-10,2.1136047803993572e-08,9.785396357166816e-10,0.45,20.0,10.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.5580069797714757,2.6,1.2732056517228265,12.74378850553022,598.35,29.077527948210236,0.0,0.0,0.0,0.0,0.0,0.0,12.725688722960506,600.95,29.036229637798144,14.173117652796083,1081.3,32.338831147708476,0.0,0.0,0.0,0.294,12.750787335855403,601.3,29.09349719348584,0.35,0.6708203932499369,12.750787335855403,601.3,29.09349719348584,True,0.5,10.0,1e-06,True,2.0
1.75,0.051,45.0,338.9899165924565,30695.176912890725,773.4739767221598,1.0649682316078783e-09,9.643174229017658e-08,2.4299401630132207e-09,9.060324352379643e-10,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0012617926896201876,0.05624,0.002879034926023503,1.0,1.1e-15,0.9,0.8202350112523912,3.15,1.8715318802914815,96997119.25197995,28308370077.787132,221318522.72355178,362412.9740951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.7775259007362966,3.1,1.7740824166460338,12.503214534039257,1011.75,28.528609832015448,0.0,0.0,0.0,3.8706898609937737,853.0,8.831760866327848,147.02390798813923,6326.829353592539,335.46474752974865,4.6188922923759986e-10,1.9876320617762584e-08,1.053893586377813e-09,0.45,20.0,10.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.6049487146596982,1.7,1.3803127029389888,12.598442710781443,560.7,28.745892155044928,0.0,0.0,0.0,0.0,0.0,0.0,12.617926896201878,562.4,28.790349260235033,12.273415095451762,1014.85,28.00427598928797,0.0,0.0,0.0,0.17986193535452044,12.628338191293588,562.6,28.814104733254293,0.2,0.4103913408340617,12.628338191293588,562.6,28.814104733254293,True,0.5,100.0,1e-06,True,2.0
1.75,0.051,45.0,4115.564855737664,255829.2483704618,9390.492635957688,1.2929428316157797e-08,8.037112872540415e-07,2.9501102678713753e-08,9.060324352379643e-09,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0014710999393579443,0.060149999999999995,0.0033566117001022264,1.0,1.1e-15,0.9,1.028078534784289,3.15,2.345768867332706,8294732.605017504,2840296966.549489,18926108.122452095,3624129.740951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.9324241185437586,4.0,2.127513992779762,16.905153241105598,1082.45,38.57252226241124,0.0,0.0,0.0,2.6548681798973703,908.2,6.0576180832159805,1635.113790106112,67415.23331316767,3730.842434310806,5.136861470780725e-09,2.1179120171668951e-07,1.172078718333189e-08,0.45,20.0,100.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.7264396233106986,2.3,1.6575187543592478,14.620076059993666,599.2,33.35865704730932,0.0,0.0,0.0,0.0,0.0,0.0,14.710999393579442,601.5,33.56611700102226,17.199797177506728,1086.45,39.244811926647,0.0,0.0,0.0,0.09799999999999998,14.684845170590345,601.55,33.50644085765256,0.05,0.22360679774997894,14.684845170590345,601.55,33.50644085765256,True,0.5,0.0,1e-06,True,2.0
1.75,0.051,45.0,4078.2794615748394,259649.35109936097,9305.418476859779,1.2812292795769654e-08,8.157124939231095e-07,2.923383432548141e-08,9.060324352379643e-09,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.00163420925285144,0.06152,0.0037287785498315937,1.0,1.1e-15,0.9,1.1410960566605755,3.4,2.603641175051019,7023658.1614331985,2837522955.898583,16025894.999679413,3624129.740951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.8180752764231032,3.7,1.866604008973459,18.32281396453469,1097.5,41.8072015956959,0.0,0.0,0.0,3.275003222175996,906.55,7.472581460526913,1784.2574167952919,69013.81278520117,4071.1437482780084,5.605409992717193e-09,2.1681328724220937e-07,1.278987529129821e-08,0.45,20.0,100.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.607866155627943,2.15,1.3869694338832113,16.56993332261145,613.05,37.80765029795731,0.0,0.0,0.0,0.0,0.0,0.0,16.342092528514403,615.2,37.28778549831595,18.13988094895072,1101.2,41.38980296490531,0.0,0.0,0.0,0.09799999999999998,16.301383312306253,615.25,37.19489919754844,0.05,0.22360679774997894,16.301383312306253,615.25,37.19489919754844,True,0.5,1.0,1e-06,True,2.0
1.75,0.051,45.0,3218.3658572329637,252373.7339289099,7343.351870650296,1.0110794533647301e-08,7.928554684700887e-07,2.306982028955985e-08,9.060324352379643e-09,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0012650893240774485,0.058179999999999996,0.0028865568635167717,1.0,1.1e-15,0.9,1.1886121938497942,4.75,2.712058841156426,7457404.783203056,2831708500.6925716,17015575.541810323,3624129.740951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.8911224146517337,4.65,2.0332758116683993,14.016308238319349,1065.45,31.98103879027795,0.0,0.0,0.0,3.399209164992414,911.45,7.755982410880955,1460.904542571234,65409.72608266234,3333.3488426811377,4.5895669785377495e-09,2.0549071493461273e-07,1.047202423601911e-08,0.45,20.0,100.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.5557377268574013,2.65,1.268027892769755,12.779436533167772,579.15,29.158866124803456,0.0,0.0,0.0,0.0,0.0,0.0,12.65089324077449,581.8,28.86556863516773,13.911640532869926,1070.1,31.742218275549543,0.0,0.0,0.0,0.09799999999999998,12.699286768202873,581.85,28.975988244352287,0.05,0.22360679774997894,12.699286768202873,581.85,28.975988244352287,True,0.5,10.0,1e-06,True,2.0
1.75,0.051,45.0,3943.555567584106,258660.7894324876,8998.018696087578,1.2389045200145364e-08,8.126068358528395e-07,2.8268109432492373e-08,9.060324352379643e-09,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0014054483300431403,0.060344999999999996,0.0032068142906530837,1.0,1.1e-15,0.9,0.7443111969430104,2.6,1.6982963599783722,7364952.408153073,2842170966.6635704,16804626.77110311,3624129.740951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.9461468674243136,4.15,2.1588252165910684,14.250937402223938,1086.5,32.516392627007136,0.0,0.0,0.0,3.2846354920735834,907.2,7.49455943018878,1651.0185192477513,67593.59282316154,3767.132286886752,5.1868276510094375e-09,2.1235153464298414e-07,1.1834795117584347e-08,0.45,20.0,100.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.6295167737408215,2.2,1.4363696929192158,14.10789816118318,601.25,32.19001970209171,0.0,0.0,0.0,0.0,0.0,0.0,14.054483300431405,603.45,32.06814290653084,14.434042881145142,1090.65,32.9341847677423,0.0,0.0,0.0,0.0,14.054483300431405,603.45,32.06814290653084,0.0,0.0,14.054483300431405,603.45,32.06814290653084,True,0.5,100.0,1e-06,True,2.0
1.75,0.051,45.0,46476.013001448395,2554691.2036380055,106044.41264734964,1.4600870101349397e-07,8.025799117539627e-06,3.3314834772715817e-07,9.060324352379643e-08,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0018083114054131741,0.06159,0.004126027782644938,1.0,1.1e-15,0.9,1.0082200052306878,3.35,2.3004576203785834,694410.6041236111,284003979.944441,1584438.0766500921,36241297.40951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.8681366615676904,3.65,1.9808291724745766,18.580309775900428,1105.45,42.39473030807882,0.0,0.0,0.0,3.078986675412614,911.75,7.025330110243557,20177.95703755402,690294.5309988173,46040.08528881742,6.33909215936302e-08,2.1686242273990967e-06,1.4463919371399635e-07,0.45,20.0,1000.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.6275061752684191,2.05,1.4317821063276353,18.08444176342573,613.85,41.2633072634246,0.0,0.0,0.0,0.0,0.0,0.0,18.08311405413174,615.9,41.26027782644937,18.336822866628374,1109.1,41.83916573587103,0.0,0.0,0.0,0.0,18.08311405413174,615.9,41.26027782644937,0.0,0.0,18.08311405413174,615.9,41.26027782644937,True,0.5,0.0,1e-06,True,2.0
1.75,0.051,45.0,35353.19841682559,2502159.091986872,80665.4641653673,1.1106534842720161e-07,7.860764621498866e-06,2.5341802962032876e-07,9.060324352379643e-08,1.0,0.4,rate_only,200.0,True,False,True,True,True,0.0013425999999999996,0.060185,0.003063413129174711,1.0,1.1e-15,0.9,0.8634660874698705,2.75,1.9701723141310308,865586.0395532572,283974118.920016,1975009.413077454,36241297.40951857,100.0,grain_cache,0.005,1.0,1000000000000.0,0.6878396385939477,3.4,1.5694450913417908,15.387708252470798,1083.75,35.11016496985633,0.0,0.0,0.0,3.044731083104229,911.5,6.9471690561506305,15391.574302211931,674736.2264083913,35118.98614335181,4.835405675501049e-08,2.1197463719955026e-06,1.1032954886947586e-07,0.45,20.0,1000.0,5.0,0.25,0.0,0.0,0.0,0.0,20000.0,0.0,0,0.0,False,diffusion_limited,0.2,1000,25,1.0,0.5,constant,0.15,10.0,0.5180796524819224,1.35,1.1821033884786185,13.454000383372577,600.5,30.698019822989096,0.0,0.0,0.0,0.0,0.0,0.0,13.425999999999998,601.85,30.634131291747117,15.46268452895891,1087.15,35.28123849121065,0.0,0.0,0.0,0.09799999999999998,13.41215690491672,601.9,30.602545473762216,0.05,0.22360679774997894,13.41215690491672,601.9,30.602545473762216,True,0.5,1.0,1e-06,True,2.0
