grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,initial_h_coverage,uv_flux_factor,uv_mode,uv_stimulated_diffusion_factor,use_3d_lattice,porosity_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,run_id,final_time,final_h_atoms_on_surface,final_h_surface_coverage,h2_formed_LH,h2_formed_ER,h2_formed_UV,total_h2_formed,total_h2_desorbed,total_h2_desorbed_LH,total_h2_desorbed_ER,total_h2_desorbed_UV,total_h2_desorbed_beam,total_h2_released_formed,total_h2_released_beam,h2_on_surface,impinging_h_atoms,impinging_h2_molecules,epsilon,h2_release_rate_cm2_s
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,0,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,1,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,2,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,3,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,4,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,5,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,6,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,7,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,8,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,9,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,10,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,11,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,12,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,13,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,14,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,15,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,16,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,17,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,18,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,10.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,19,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,0,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,1,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,2,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,3,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,4,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,5,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,6,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,7,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,8,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,9,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,10,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,11,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,12,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,13,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,14,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,15,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,16,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0.05,9,20.0,100.0,1000.0,0.3,0.0,1.0,pulse,2.0,True,0.2,45.0,5.0,True,0.5,1e-06,17,0.001,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
