grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,initial_h_coverage,uv_flux_factor,uv_stimulated_diffusion_factor,use_3d_lattice,porosity_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,max_steps,run_id,final_time,final_h_atoms_on_surface,h2_formed_LH,h2_formed_ER,h2_formed_UV,total_h2_formed
0.008,80,20.0,200.0,2000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,0,8.629287685045248e-09,262,10,0,0,10
0.008,80,20.0,200.0,2000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,1,8.330371322804743e-09,272,10,0,0,10
0.008,80,20.0,200.0,2000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,2,8.708671296231307e-09,260,13,0,0,13
0.008,80,20.0,200.0,2000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,0,8.546490892706345e-09,266,16,0,0,16
0.008,80,20.0,200.0,2000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,1,8.302278651171069e-09,270,9,0,0,9
0.008,80,20.0,200.0,2000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,2,8.59705467291811e-09,262,11,0,0,11
0.008,80,20.0,200.0,2000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,0,6.661060375603549e-09,263,13,0,0,13
0.008,80,20.0,200.0,2000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,1,6.777329592630218e-09,259,15,0,0,15
0.008,80,20.0,200.0,2000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,2,8.789864019928615e-09,257,16,0,0,16
0.008,80,20.0,200.0,5000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,0,8.597150398153674e-09,265,12,0,0,12
