grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,initial_h_coverage,uv_flux_factor,uv_stimulated_diffusion_factor,use_3d_lattice,porosity_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,max_steps,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_LH_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_ER_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_formed_UV_ci95,total_h2_formed_mean,total_h2_formed_std,total_h2_formed_ci95
0.008,80,20.0,200.0,2000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,11.0,1.7320508075688772,1.96,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.7320508075688772,1.96
0.008,80,20.0,200.0,2000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,12.0,3.605551275463989,4.08006535895362,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.605551275463989,4.08006535895362
0.008,80,20.0,200.0,2000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,14.666666666666666,1.5275252316519468,1.728557523228866,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,1.5275252316519468,1.728557523228866
0.008,80,20.0,200.0,5000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,12.666666666666666,1.1547005383792517,1.3066666666666669,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,1.1547005383792517,1.3066666666666669
0.008,80,20.0,200.0,5000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,12.333333333333334,4.618802153517006,5.226666666666667,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,4.618802153517006,5.226666666666667
0.008,80,20.0,200.0,5000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,10.333333333333334,3.7859388972001824,4.28419316921064,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,3.7859388972001824,4.28419316921064
0.008,80,40.0,200.0,2000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,13.0,2.6457513110645907,2.9939494540378155,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.6457513110645907,2.9939494540378155
0.008,80,40.0,200.0,2000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,11.0,2.6457513110645907,2.9939494540378155,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.6457513110645907,2.9939494540378155
0.008,80,40.0,200.0,2000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,15.333333333333334,4.932882862316248,5.582082446940788,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,4.932882862316248,5.582082446940788
0.008,80,40.0,200.0,5000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,11.666666666666666,4.163331998932265,4.71125366660628,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,4.163331998932265,4.71125366660628
0.008,80,40.0,200.0,5000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,11.0,2.0,2.263213055223333,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2.263213055223333
0.008,80,40.0,200.0,5000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,11.666666666666666,2.081665999466133,2.3556268333031403,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,2.081665999466133,2.3556268333031403
0.008,80,60.0,200.0,2000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,14.333333333333334,3.214550253664318,3.6376060503822805,0.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,3.214550253664318,3.6376060503822805
0.008,80,60.0,200.0,2000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,14.0,4.58257569495584,5.185672569686598,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.58257569495584,5.185672569686598
0.008,80,60.0,200.0,2000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,10.666666666666666,1.5275252316519468,1.728557523228866,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,1.5275252316519468,1.728557523228866
0.008,80,60.0,200.0,5000000.0,0.3,0.4,0.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,12.333333333333334,2.0816659994661326,2.35562683330314,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,2.0816659994661326,2.35562683330314
0.008,80,60.0,200.0,5000000.0,0.3,0.4,5.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,16.0,1.0,1.1316065276116665,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.1316065276116665
0.008,80,60.0,200.0,5000000.0,0.3,0.4,10.0,3.0,False,0.2,45.0,5.0,True,0.5,1e-06,50000,12.333333333333334,4.163331998932265,4.71125366660628,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,4.163331998932265,4.71125366660628
