surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,n_runs,epsilon_mean,epsilon_std,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std
10.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.05969,0.002919967555695746,865565.095928908,41050.69511296796
10.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.12434,0.003641775159972056,1801025.6978971313,52498.71420442229
10.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.185865,0.004050636727075987,2700609.958076478,61954.85568227102
10.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.22469999999999998,0.0036685003389453487,3257965.4859088487,59646.26308267225
10.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.24758,0.00533741510471127,3595314.181061043,71483.42009396048
10.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.259615,0.0038050209211680144,3766016.3958556065,54958.161455428955
10.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.26692499999999997,0.0036257667065775798,3873158.626637613,41755.29704482402
10.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.268565,0.0034826298290682204,3894820.8535242095,58702.50021086013
10.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.27127500000000004,0.004545197002273239,3932740.4108654065,75399.95330178872
10.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.27284,0.0040523417531361525,3953376.9394444004,53655.695003603694
10.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.273065,0.003909270358627309,3957460.4104660964,62522.5774989382
10.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.27172999999999997,0.0037576728520665446,3938550.6108818785,59570.563656328966
20.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.28564,0.004188128585971483,4135224.751380378,65090.07380468742
20.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.28215,0.003245320517785254,4092402.6168499114,47675.413497230315
20.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.27981500000000004,0.0035833349653199014,4063859.3128192564,67688.87120386653
20.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.27776999999999996,0.0031043433071136018,4020812.560066885,47153.66174052224
20.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.276995,0.003233293090724422,4014131.0105112554,49384.57469183768
20.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.27490000000000003,0.003384329211310025,3994954.540181613,53079.897121289476
20.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.275725,0.002470430390800262,4002490.2856678255,41147.368835458125
20.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.27592500000000003,0.0032979858287014796,4006860.7479799264,54353.238970415434
20.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.275125,0.0025714781741247596,3980559.1400036723,49166.77970638013
20.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.275925,0.0031519208846603206,3997562.322989033,57530.34712842134
20.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.274285,0.004520861003230052,3970541.637573312,69311.07462018439
20.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.274865,0.0035282730232106276,3989856.480021012,67337.9346151044
30.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.275445,0.002760715963582453,4002820.5378273004,44048.85906568984
30.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.27495,0.002614232301520997,3986421.2436390594,34332.320560734144
30.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.274545,0.003372407386266872,3977227.040496716,62665.2533504539
30.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.27549,0.0026568481524662196,4003337.1650207154,40917.52663801389
30.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.275225,0.002619938729697401,3983556.5312945293,43411.03784956068
30.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.27357,0.002483015992911185,3963124.376192806,46975.220256619374
30.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.275455,0.0033691284207921623,3997689.943927061,52633.263527007715
30.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.274905,0.0033842475646659502,3978774.8838325194,58040.00355713736
30.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.275405,0.003842350568953458,3984074.9824610204,56153.775336077015
30.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.27534000000000003,0.00349019679734689,3985990.6344485385,55302.76162886551
30.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.27439,0.0036959294821251928,3965527.3272667276,57810.61496015559
30.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.274805,0.002634283084336426,3981816.820845288,47879.736808079724
40.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.274675,0.004034831895017758,3979603.489636208,69831.82268415316
40.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.275265,0.0029989954458469214,3996391.21089694,41030.717409997924
40.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.27479,0.002460829984075775,3980320.923646801,36235.85528256936
