surface_temperature_k,h_gas_density_cm3,n_runs,epsilon_mean,epsilon_std,epsilon_ci95,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std,h2_release_rate_cm2_s_ci95
80.0,10.0,1000,0.26146600000000003,0.003139123778715666,0.00019456490755954346,37897.47271304994,516.0139434272536,31.982875566453757
80.0,10000.0,1000,0.27239420000000003,0.0032304585157872305,0.0002002258932128632,39484679.53189557,524129.1940390982,32485.864010497233
90.0,10.0,1000,0.2409394,0.0031668243425261875,0.00019628180629214037,34931.704693951295,491.85739280578696,30.485637047064664
90.0,10000.0,1000,0.2661242,0.0031819174971955137,0.00019721728971045289,38586426.95297999,527846.4276288456,32716.260535371493
100.0,10.0,1000,0.2161012,0.003191592835062899,0.00019781697336438816,31324.053974463728,509.25528337065145,31.563969476144315
100.0,10000.0,1000,0.2502125,0.0031014210553490726,0.0001922280685548818,36267681.76183586,500665.8691620234,31031.59206789308
110.0,10.0,1000,0.2010182,0.004453565201386748,0.0002760348309911927,29128.781784477815,668.0819525334574,41.408148419701156
110.0,10000.0,1000,0.23014510000000002,0.0031750396638257714,0.00019679099718166926,33364630.326279134,503421.94294949266,31202.415291023743
120.0,10.0,1000,0.1910318,0.0033012887282495035,0.00020461599526413847,27694.121777521887,496.67636659704715,30.784320137099506
120.0,10000.0,1000,0.2103709,0.00370581114281695,0.00022968855427876828,30488272.336801916,577450.8811209546,35790.77641578147
