E_phys_mean_meV,enable_grain_cache,epsilon_ci95,epsilon_mean,epsilon_std,gas_temperature_k,grain_cache_dir,grain_radius_um,h2_formed_ER_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_LH_ci95,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_UV_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_on_surface_ci95,h2_on_surface_mean,h2_on_surface_std,h_gas_density_cm3,heterogeneity_E_bind_sigma_meV,impinging_h2_molecules_ci95,impinging_h2_molecules_mean,impinging_h2_molecules_std,impinging_h_atoms_ci95,impinging_h_atoms_mean,impinging_h_atoms_std,initial_h_coverage,porosity_fraction,site_area_angstroms_sq,sticking_probability,surface_temperature_k,total_h2_desorbed_ER_ci95,total_h2_desorbed_ER_mean,total_h2_desorbed_ER_std,total_h2_desorbed_LH_ci95,total_h2_desorbed_LH_mean,total_h2_desorbed_LH_std,total_h2_desorbed_UV_ci95,total_h2_desorbed_UV_mean,total_h2_desorbed_UV_std,total_h2_desorbed_beam_ci95,total_h2_desorbed_beam_mean,total_h2_desorbed_beam_std,total_h2_desorbed_ci95,total_h2_desorbed_mean,total_h2_desorbed_std,total_h2_formed_ci95,total_h2_formed_mean,total_h2_formed_std,total_h2_released_beam_ci95,total_h2_released_beam_mean,total_h2_released_beam_std,total_h2_released_formed_ci95,total_h2_released_formed_mean,total_h2_released_formed_std,use_3d_lattice,uv_defect_creation_rate,uv_flux_factor,uv_pulse_duration,uv_pulse_enabled,uv_stimulated_diffusion_factor
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.607155266275715,188.2,13.88684429395118,32.741061952505106,2332.0,52.82465754214072,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,8.607155266275715,188.2,13.88684429395118,32.741061952505106,2332.0,52.82465754214072,0.0,0.0,0.0,0.0,0.0,0.0,37.18471217524152,2520.2,59.99407378140685,37.18471217524152,2520.2,59.99407378140685,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,6.472947602651103,189.2,10.443498775155128,37.70339061676018,2324.2,60.83091319386879,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,6.472947602651103,189.2,10.443498775155128,37.70339061676018,2324.2,60.83091319386879,0.0,0.0,0.0,0.0,0.0,0.0,37.12428337355484,2513.4,59.8965775316086,37.12428337355484,2513.4,59.8965775316086,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,10.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,7.574441350870557,191.7,12.220656465364064,20.047860955445817,2316.0,32.34535858855521,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,7.574441350870557,191.7,12.220656465364064,20.047860955445817,2316.0,32.34535858855521,0.0,0.0,0.0,0.0,0.0,0.0,24.75271265942381,2507.7,39.93619911809335,24.75271265942381,2507.7,39.93619911809335,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,9.230515671161365,192.3,14.892578315687613,23.79506014094335,2315.1,38.39111587044296,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,9.230515671161365,192.3,14.892578315687613,23.79506014094335,2315.1,38.39111587044296,0.0,0.0,0.0,0.0,0.0,0.0,27.105381966604995,2507.4,43.73201217516625,27.105381966604995,2507.4,43.73201217516625,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,100.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,6.189794611562918,185.8,9.986657765906136,21.06825264072304,2314.9,33.99166564517446,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,6.189794611562918,185.8,9.986657765906136,21.06825264072304,2314.9,33.99166564517446,0.0,0.0,0.0,0.0,0.0,0.0,21.008603570918275,2500.7,33.89542742022883,21.008603570918275,2500.7,33.89542742022883,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,10.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.751009186246907,180.3,14.11893921101881,30.088535904707772,2318.2,48.545053529914064,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,8.751009186246907,180.3,14.11893921101881,30.088535904707772,2318.2,48.545053529914064,0.0,0.0,0.0,0.0,0.0,0.0,35.3310803055264,2498.5,57.00341120396997,35.3310803055264,2498.5,57.00341120396997,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.790915007362239,188.5,14.183323540928855,33.10337556470303,2307.9,53.40921684919602,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,8.790915007362239,188.5,14.183323540928855,33.10337556470303,2307.9,53.40921684919602,0.0,0.0,0.0,0.0,0.0,0.0,37.286048722455604,2496.4,60.15757087294444,37.286048722455604,2496.4,60.15757087294444,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,1.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,9.3278063635324,192.6,15.049547796823958,27.98829977766503,2303.0,45.15651792500293,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,9.3278063635324,192.6,15.049547796823958,27.98829977766503,2303.0,45.15651792500293,0.0,0.0,0.0,0.0,0.0,0.0,25.137971066363594,2495.6,40.55777771689831,25.137971066363594,2495.6,40.55777771689831,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,1.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,13.284533697332229,184.5,21.433359253483548,31.814113457883924,2309.3,51.32911238057578,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,13.284533697332229,184.5,21.433359253483548,31.814113457883924,2309.3,51.32911238057578,0.0,0.0,0.0,0.0,0.0,0.0,34.03082827215478,2493.8,54.90557551125589,34.03082827215478,2493.8,54.90557551125589,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.1,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,9.0434172498871,189.0,14.590712418826193,19.621765692436774,2304.0,31.65789352155671,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,9.0434172498871,189.0,14.590712418826193,19.621765692436774,2304.0,31.65789352155671,0.0,0.0,0.0,0.0,0.0,0.0,25.469946734664887,2493.0,41.093389573831296,25.469946734664887,2493.0,41.093389573831296,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,1.0,1e-06,True,2.0
