surface_temperature_k,h_gas_density_cm3,metric_uv0,metric_uv100,ratio_uvhigh_over_uv0,percent_drop
10.0,10.0,6615.366941871051,6326.829353592539,0.9563837364104093,4.36162635895907
10.0,100.0,67415.23331316767,67593.59282316154,1.0026456855702823,-0.264568557028233
10.0,1000.0,690294.5309988173,667976.1145521939,0.9676682699277221,3.2331730072277853
10.0,10000.0,6489293.5948501555,6803909.056926668,1.0484822357746595,-4.848223577465949
20.0,10.0,31986.01800119652,25577.235691090988,0.7996380071484424,20.036199285155764
20.0,100.0,319859.6959998044,315890.3351324246,0.9875903062592098,1.240969374079015
20.0,1000.0,3199744.187351755,3193821.473045039,0.998149003807827,0.18509961921729934
20.0,10000.0,31898670.727300107,31894898.275735214,0.9998817364022111,0.01182635977888813
30.0,10.0,30880.201446441537,23681.085926765485,0.766869541568174,23.3130458431826
30.0,100.0,308801.7470369335,304549.42584099376,0.9862296077119307,1.377039228806931
30.0,1000.0,3082423.8768300745,3090967.754666672,1.0027718049749161,-0.27718049749161366
30.0,10000.0,30918983.70227767,30718796.495334268,0.9935254273273977,0.6474572672602319
40.0,10.0,30868.919833557964,23670.48911557761,0.7668065239472728,23.31934760527272
40.0,100.0,308688.93069034384,304507.30597956036,0.9864535968250244,1.3546403174975574
40.0,1000.0,3086165.40285705,3089643.8811786533,1.0011271198615548,-0.11271198615547817
40.0,10000.0,30909252.453581143,30727457.275474917,0.994118422036274,0.5881577963726015
50.0,10.0,30868.927654898405,23670.48988311595,0.7668063545239422,23.31936454760578
50.0,100.0,308688.93851210864,304507.3120379046,0.9864535914556587,1.3546408544341304
50.0,1000.0,3086165.410537195,3089643.889325387,1.001127120009937,-0.11271200099369771
50.0,10000.0,30909252.46105204,30727457.286168747,0.9941184221419663,0.5881577858033671
60.0,10.0,30749.9222297222,23563.67595267928,0.7663003430266614,23.36996569733386
60.0,100.0,309051.862577272,304194.0972480985,0.9842817147624895,1.571828523751051
60.0,1000.0,3086476.5643277233,3082958.9558348903,0.9988603158263089,0.11396841736911467
60.0,10000.0,30902479.07153328,30735807.96723624,0.9946065458401823,0.5393454159817734
70.0,10.0,30551.67855266588,23101.23756896946,0.756136443670251,24.386355632974897
70.0,100.0,305995.4061378733,302285.3636920379,0.9878754962610001,1.212450373899987
70.0,1000.0,3064287.26657024,3084510.6530512264,1.00659970320068,-0.6599703200679929
70.0,10000.0,30821384.35758219,30718804.147513337,0.9966717844701997,0.3328215529800338
80.0,10.0,29290.321012832555,21171.03982779805,0.7227998565984538,27.72001434015462
80.0,100.0,299670.7417972089,296114.70277990575,0.9881335128148427,1.186648718515726
80.0,1000.0,3044764.6697587795,3015019.035232774,0.9902305636880757,0.9769436311924284
80.0,10000.0,30395409.84701138,30376750.17697703,0.9993861023711058,0.061389762889418886
100.0,10.0,24205.659035072633,9513.529134753457,0.3930291309552403,60.697086904475974
100.0,100.0,253564.21834847383,247023.4957877891,0.9742048676927444,2.579513230725561
100.0,1000.0,2685464.364750537,2687715.7425284185,1.000838356973726,-0.08383569737260288
100.0,10000.0,28032754.514449995,28038420.557592712,1.0002021222402457,-0.0202122240245739
120.0,10.0,21363.43669289095,1898.7981250274715,0.08888074294054613,91.11192570594538
120.0,100.0,218731.73834962928,165685.33985636945,0.757481932464376,24.2518067535624
120.0,1000.0,2296209.412651129,2278304.8938399837,0.9922025758136435,0.7797424186356539
120.0,10000.0,23480496.90302538,23610072.28183455,1.0055184257532672,-0.551842575326722
150.0,10.0,21290.96185369172,1803.975683515123,0.08472964706394065,91.52703529360593
150.0,100.0,212908.83300512805,152728.63787684523,0.7173428914204169,28.265710857958315
150.0,1000.0,2130993.1175878635,2117523.060424983,0.9936789766932107,0.6321023306789297
150.0,10000.0,21286971.026249222,21307696.40653597,1.0009736181000664,-0.09736181000663535
180.0,10.0,21290.970563872503,1803.9763287669964,0.08472964270722662,91.52703572927734
180.0,100.0,212909.7029537717,152728.94079783076,0.7173413831261238,28.265861687387616
180.0,1000.0,2129096.7610507743,2109349.0260265153,0.9907248297092365,0.9275170290763524
180.0,10000.0,21290940.770171434,21356781.67556416,1.0030924375819488,-0.30924375819487704
200.0,10.0,21290.970591902475,1803.9763308368888,0.08472964269289768,91.52703573071024
200.0,100.0,212909.7057567577,152728.94272100728,0.7173413827150512,28.26586172849488
200.0,1000.0,2129097.041340948,2109349.2984794425,0.9907248272492699,0.9275172750730087
200.0,10000.0,21290968.79077108,21369685.938344263,1.0036972083490774,-0.36972083490773855
220.0,10.0,21290.970593520095,1803.9763309560628,0.08472964269205759,91.52703573079424
220.0,100.0,212909.70591851493,152728.94283187288,0.7173413826907707,28.265861730922925
220.0,1000.0,2129097.057516608,2109349.314250472,0.9907248271296896,0.9275172870310433
220.0,10000.0,21290970.40831285,21375541.63689672,1.0039721641128603,-0.3972164112860277
250.0,10.0,21290.970593693117,1803.97633096878,0.08472964269196633,91.52703573080336
250.0,100.0,212909.7059358085,152728.94284371362,0.7173413826881186,28.265861731188135
250.0,1000.0,2129097.0592458975,2109349.315940616,0.990724827118837,0.9275172881162974
250.0,10000.0,21290970.58124142,21375541.80215006,1.0039721637201053,-0.3972163720105337
